atemp,hum,windspeed,casual,sum%
0.344167,0.363625,0.805833,0.160446,0.985
0.363478,0.353739,0.696087,0.248539,0.801
0.196364,0.189405,0.437273,0.248309,1.349
0.2,0.212122,0.590435,0.160296,1.562
0.226957,0.22927,0.436957,0.1869,1.6
0.204348,0.233209,0.518261,0.0895652,1.606
0.196522,0.208839,0.498696,0.168726,1.51
0.165,0.162254,0.535833,0.266804,0.959
0.138333,0.116175,0.434167,0.36195,0.822
0.150833,0.150888,0.482917,0.223267,1.321
0.169091,0.191464,0.686364,0.122132,1.263
0.172727,0.160473,0.599545,0.304627,1.162
0.165,0.150883,0.470417,0.301,1.406
0.16087,0.188413,0.537826,0.126548,1.421
0.233333,0.248112,0.49875,0.157963,1.248
0.231667,0.234217,0.48375,0.188433,1.204
0.175833,0.176771,0.5375,0.194017,1
0.216667,0.232333,0.861667,0.146775,0.683
0.292174,0.298422,0.741739,0.208317,1.65
0.261667,0.25505,0.538333,0.195904,1.927
0.1775,0.157833,0.457083,0.353242,1.543
0.0591304,0.0790696,0.4,0.17197,0.981
0.0965217,0.0988391,0.436522,0.2466,0.986
0.0973913,0.11793,0.491739,0.15833,1.416
0.223478,0.234526,0.616957,0.129796,1.985
0.2175,0.2036,0.8625,0.29385,0.506
0.195,0.2197,0.6875,0.113837,0.431
0.203478,0.223317,0.793043,0.1233,1.167
0.196522,0.212126,0.651739,0.145365,1.098
0.216522,0.250322,0.722174,0.0739826,1.096
0.180833,0.18625,0.60375,0.187192,1.501
0.192174,0.23453,0.829565,0.053213,1.36
0.26,0.254417,0.775417,0.264308,1.526
0.186957,0.177878,0.437826,0.277752,1.55
0.211304,0.228587,0.585217,0.127839,1.708
0.233333,0.243058,0.929167,0.161079,1.005
0.285833,0.291671,0.568333,0.1418,1.623
0.271667,0.303658,0.738333,0.0454083,1.712
0.220833,0.198246,0.537917,0.36195,1.53
0.134783,0.144283,0.494783,0.188839,1.605
0.144348,0.149548,0.437391,0.221935,1.538
0.189091,0.213509,0.506364,0.10855,1.746
0.2225,0.232954,0.544167,0.203367,1.472
0.316522,0.324113,0.457391,0.260883,1.589
0.415,0.39835,0.375833,0.417908,1.913
0.266087,0.254274,0.314348,0.291374,1.815
0.318261,0.3162,0.423478,0.251791,2.115
0.435833,0.428658,0.505,0.230104,2.475
0.521667,0.511983,0.516667,0.264925,2.927
0.399167,0.391404,0.187917,0.507463,1.635
0.285217,0.27733,0.407826,0.223235,1.812
0.303333,0.284075,0.605,0.307846,1.107
0.182222,0.186033,0.577778,0.195683,1.45
0.221739,0.245717,0.423043,0.094113,1.917
0.295652,0.289191,0.697391,0.250496,1.807
0.364348,0.350461,0.712174,0.346539,1.461
0.2825,0.282192,0.537917,0.186571,1.969
0.343478,0.351109,0.68,0.125248,2.402
0.407273,0.400118,0.876364,0.289686,1.446
0.266667,0.263879,0.535,0.216425,1.851
0.335,0.320071,0.449583,0.307833,2.134
0.198333,0.200133,0.318333,0.225754,1.685
0.261667,0.255679,0.610417,0.203346,1.944
0.384167,0.378779,0.789167,0.251871,2.077
0.376522,0.366252,0.948261,0.343287,0.605
0.261739,0.238461,0.551304,0.341352,1.872
0.2925,0.3024,0.420833,0.12065,2.133
0.295833,0.286608,0.775417,0.22015,1.891
0.389091,0.385668,0,0.261877,0.623
0.316522,0.305,0.649565,0.23297,1.977
0.329167,0.32575,0.594583,0.220775,2.132
0.384348,0.380091,0.527391,0.270604,2.417
0.325217,0.332,0.496957,0.136926,2.046
0.317391,0.318178,0.655652,0.184309,2.056
0.365217,0.36693,0.776522,0.203117,2.192
0.415,0.410333,0.602917,0.209579,2.744
0.54,0.527009,0.525217,0.231017,3.239
0.4725,0.466525,0.379167,0.368167,3.117
0.3325,0.32575,0.47375,0.207721,2.471
0.430435,0.409735,0.737391,0.288783,2.077
0.441667,0.440642,0.624583,0.22575,2.703
0.346957,0.337939,0.839565,0.234261,2.121
0.285,0.270833,0.805833,0.243787,1.865
0.264167,0.256312,0.495,0.230725,2.21
0.265833,0.257571,0.394167,0.209571,2.496
0.253043,0.250339,0.493913,0.1843,1.693
0.264348,0.257574,0.302174,0.212204,2.028
0.3025,0.292908,0.314167,0.226996,2.425
0.3,0.29735,0.646667,0.172888,1.536
0.268333,0.257575,0.918333,0.217646,1.685
0.3,0.283454,0.68625,0.258708,2.227
0.315,0.315637,0.65375,0.197146,2.252
0.378333,0.378767,0.48,0.182213,3.249
0.573333,0.542929,0.42625,0.385571,3.115
0.414167,0.39835,0.642083,0.388067,1.795
0.390833,0.387608,0.470833,0.263063,2.808
0.4375,0.433696,0.602917,0.162312,3.141
0.335833,0.324479,0.83625,0.226992,1.471
0.3425,0.341529,0.8775,0.133083,2.455
0.426667,0.426737,0.8575,0.146767,2.895
0.595652,0.565217,0.716956,0.324474,3.348
0.5025,0.493054,0.739167,0.274879,2.034
0.4125,0.417283,0.819167,0.250617,2.162
0.4675,0.462742,0.540417,0.1107,3.267
0.446667,0.441913,0.67125,0.226375,3.126
0.430833,0.425492,0.888333,0.340808,0.795
0.456667,0.445696,0.479583,0.303496,3.744
0.5125,0.503146,0.5425,0.163567,3.429
0.505833,0.489258,0.665833,0.157971,3.204
0.595,0.564392,0.614167,0.241925,3.944
0.459167,0.453892,0.407083,0.325258,4.189
0.336667,0.321954,0.729583,0.219521,1.683
0.46,0.450121,0.887917,0.230725,4.036
0.581667,0.551763,0.810833,0.192175,4.191
0.606667,0.5745,0.776667,0.185333,4.073
0.631667,0.594083,0.729167,0.3265,4.4
0.62,0.575142,0.835417,0.3122,3.872
0.6175,0.578929,0.700833,0.320908,4.058
0.51,0.497463,0.457083,0.240063,4.595
0.4725,0.464021,0.503333,0.235075,5.312
0.451667,0.448204,0.762083,0.106354,3.351
0.549167,0.532833,0.73,0.183454,4.401
0.616667,0.582079,0.697083,0.342667,4.451
0.414167,0.40465,0.737083,0.328996,2.633
0.459167,0.441917,0.444167,0.295392,4.433
0.479167,0.474117,0.59,0.228246,4.608
0.52,0.512621,0.54125,0.16045,4.714
0.528333,0.518933,0.631667,0.0746375,4.333
0.5325,0.525246,0.58875,0.176,4.362
0.5325,0.522721,0.489167,0.115671,4.803
0.5425,0.5284,0.632917,0.120642,4.182
0.535,0.523363,0.7475,0.189667,4.864
0.5125,0.4943,0.863333,0.179725,4.105
0.520833,0.500629,0.9225,0.13495,3.409
0.5625,0.536,0.867083,0.152979,4.553
0.5775,0.550512,0.787917,0.126871,3.958
0.561667,0.538529,0.837917,0.277354,4.123
0.55,0.527158,0.87,0.201492,3.855
0.530833,0.510742,0.829583,0.108213,4.575
0.536667,0.529042,0.719583,0.125013,4.917
0.6025,0.571975,0.626667,0.12065,5.805
0.604167,0.5745,0.749583,0.148008,4.66
0.631667,0.590296,0.81,0.233842,4.274
0.66,0.604813,0.740833,0.207092,4.492
0.660833,0.615542,0.69625,0.154233,4.978
0.708333,0.654688,0.6775,0.199642,4.677
0.681667,0.637008,0.65375,0.240679,4.679
0.655833,0.612379,0.729583,0.230092,4.758
0.6675,0.61555,0.81875,0.213938,4.788
0.733333,0.671092,0.685,0.131225,4.098
0.775,0.725383,0.636667,0.111329,3.982
0.764167,0.720967,0.677083,0.207092,3.974
0.715,0.643942,0.305,0.292287,4.968
0.62,0.587133,0.354167,0.253121,5.312
0.635,0.594696,0.45625,0.123142,5.342
0.648333,0.616804,0.6525,0.138692,4.906
0.678333,0.621858,0.6,0.121896,4.548
0.7075,0.65595,0.597917,0.187808,4.833
0.775833,0.727279,0.622083,0.136817,4.401
0.808333,0.757579,0.568333,0.149883,3.915
0.755,0.703292,0.605,0.140554,4.586
0.725,0.678038,0.654583,0.15485,4.966
0.6925,0.643325,0.747917,0.163567,4.46
0.635,0.601654,0.494583,0.30535,5.02
0.604167,0.591546,0.507083,0.269283,4.891
0.626667,0.587754,0.471667,0.167912,5.18
0.628333,0.595346,0.688333,0.206471,3.767
